logrecno,geoid
0012661,36061001600
0012662,36061001800
0012663,36061002000
0012664,36061002100
0012665,36061002201
0012666,36061002202
0012667,36061002400
0012668,36061002500
0012669,36061002601
0012670,36061002602
0012671,36061002700
0012672,36061002800
0012673,36061002900
0012674,36061003001
0012675,36061003002
0012676,36061003100
0012677,36061003200
0012678,36061003300
0012679,36061003400
0012680,36061003601
0012681,36061003602
0012682,36061003700
0012683,36061003800
0012684,36061003900
0012685,36061004000
0012686,36061004100
0012687,36061004200
0012688,36061004300
0012689,36061004400
0012690,36061004500
0012691,36061004700
0012692,36061004800
0012693,36061004900
0012694,36061005000
0012695,36061005200
0012696,36061005400
0012697,36061005501
0012698,36061005502
0012699,36061005600
0012700,36061005700
0012701,36061005800
0012702,36061005900
0012703,36061006000
0012704,36061006100
0012705,36061006200
0012706,36061006300
0012707,36061006400
0012708,36061006500
0012709,36061006600
0012710,36061006700
0012711,36061006800
0012712,36061006900
0012713,36061007000
0012714,36061007100
0012715,36061007200
0012716,36061007300
0012717,36061007400
0012718,36061007500
0012719,36061007600
0012720,36061007700
0012721,36061007800
0012722,36061007900
0012723,36061008000
0012724,36061008100
0012725,36061008200
0012726,36061008300
0012727,36061008400
0012728,36061008601
0012729,36061008602
0012730,36061008603
0012731,36061008700
0012732,36061008800
0012733,36061008900
0012734,36061009000
0012735,36061009100
0012736,36061009200
0012737,36061009300
0012738,36061009400
0012739,36061009500
0012740,36061009600
0012741,36061009700
0012742,36061009800
0012743,36061009900
0012744,36061010000
0012745,36061010100
0012746,36061010200
0012747,36061010300
0012748,36061010400
0012749,36061010601
0012750,36061010602
0012751,36061010800
0012752,36061010900
0012753,36061011000
0012754,36061011100
0012755,36061011201
0012756,36061011202
0012757,36061011203
0012758,36061011300
0012759,36061011401
0012760,36061011402
0012761,36061011500
0012762,36061011600
0012763,36061011700
0012764,36061011800
0012765,36061011900
0012766,36061012000
0012767,36061012100
0012768,36061012200
0012769,36061012400
0012770,36061012500
0012771,36061012600
0012772,36061012700
0012773,36061012800
0012774,36061012900
0012775,36061013000
0012776,36061013100
0012777,36061013200
0012778,36061013300
0012779,36061013400
0012780,36061013500
0012781,36061013600
0012782,36061013700
0012783,36061013800
0012784,36061013900
0012785,36061014000
0012786,36061014200
0012787,36061014300
0012788,36061014401
0012789,36061014402
0012790,36061014500
0012791,36061014601
0012792,36061014602
0012793,36061014700
0012794,36061014801
0012795,36061014802
0012796,36061014900
0012797,36061015001
0012798,36061015002
0012799,36061015100
0012800,36061015200
0012801,36061015300
